dt,size.mm,esc.temp
7/9/15,18,20.1
7/9/15,13,17.3
7/10/15,20,17.3
7/10/15,17,14.2
7/10/15,16,20.5
7/30/15,14,26.1
7/31/15,11,25.8
8/8/15,11,30
8/31/15,14,22.7
10/10/15,10,23.8
10/11/15,18,18.6
10/11/15,15,25.8
10/14/15,12,23.7
10/14/15,15,22.6
10/15/15,16,21.5
10/15/15,17,24.1
