crab.id,break.pt.temp,size.mm
1,34.3,14
2,27.1,12
3,29.4,22
4,31.9,11
5,30.4,20
6,28.4,12
7,31.4,19
8,32.9,12
9,31,20
10,27.8,20
11,30.1,14
12,29,24
13,27.7,22
14,32.3,19
15,31.9,14
16,28.8,22
17,32.8,13
18,29.6,14
19,28.6,21
20,31,14
21,32.2,22
22,28.3,12
23,31.3,13
24,30.3,18
25,29.8,21
26,31.6,20
27,30,19
28,32.2,11
29,30.3,11
30,32,14
31,32,18
32,35,11
33,28.5,19
35,26.7,18
36,31.6,18
37,31.5,12
38,29.7,18
39,30.5,10
40,30.5,11
